video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7222748375907699974,2023-04-16T22:32:38,15,FR,37,0,4,3863,pov : tu fais le test des 100 questions#pourtoi ,False,,lunix_yt697,lunix,,,,,,False
7222047270571658502,2023-04-15T01:11:59,12,FR,1941,94,159,117000,pour les personnes qui veulent le faire : idrlabs test du style de personnalité  #idrlabspersonalitytest #pourtoi #xyzbca ,False,,damsonaa,🪫,,,,,,False
6933558950193335558,2021-02-26T14:10:14,35,FR,211700,2003,8213,1600000,Dites en commentaire si vous avez réussi. #Test #Respiration #Santé,False,,annony404,Annony,,,,,,False
7226325460278381830,2023-04-26T13:53:30,91,FR,7309,489,1767,939700,Test visuel tiktok #testvisuel #tiktok #ophtalmo #vision #medical #medecine #medicaltiktok #medicalhumor #colorguess ,False,,drtik_tok,Docteur TikTok,,,,,,False
7233537169401384219,2023-05-16T00:18:46,58,GB,516400,30600,196300,21400000,,False,,gohomepl3ase,Bruhaps,,,,,,False
7231645852186447109,2023-05-10T21:59:23,42,FR,762500,747,2257,12400000,#wlw #lgbtqia #lille ,False,,elliegenvo1,ellie ☾,,,,,,False
7195855950262095110,2023-02-03T10:16:21,78,FR,1299,234,55,29400,TEST DE MATURITÉ #CapCut #maturité#fyp#meme,False,,lulu_oklm42,•_•,,,,,,False
7057242090366864646,2022-01-25T21:23:39,42,FR,738,8,10,42500,Donnez vos résultats en com !,False,,melparis75,Melparis,,,,,,False
7234919340426972421,2023-05-19T17:42:10,90,TR,5211,120,61,264600,Dördüncü sorudaki problemi yaşayan umarım tek ben değilimdir 🙃 #nekadar #nekadartestleri #toksik #toksikiliski #toksikiliskitesti #nekadartoksiksin #toksikilişki #tiktoktest ,False,,brunettemodee,brunettemode,,,,,,False
7227427010556005659,2023-04-29T13:08:12,55,FR,434,8,56,17300,Alors les résultats du test ? #test #psychologie #horreur🇨🇵 #histoirehorrible #meurtrefrance #testpsychologique #testpsychopathe #testpsychopatie ,False,,lachroniquehorreur,La Chronique de l’horreur,,,,,,False
7188177627386055979,2023-01-13T17:40:37,33,EG,2400000,4258,7484,26800000,Test your English! #الانجليزي #learnenglish #انقلش #تعلم_اللغة_الإنجليزية #ingles ,False,,americanenglizy,Evan,,,,,,False
7239391215551122693,2023-05-31T18:55:19,85,TR,594,8,3,42800,🙃🫶🏻 #nekadartestleri #tiktoktest #testler #nekadar #ortayakarisiktest ,False,,brunettemodee,brunettemode,,,,,,False
7236555708609629486,2023-05-24T03:32:15,32,US,1400000,12400,12500,19700000,"For the folks that may have never seen an allergy skin test done before, youve got the queen of allergies to show you the ropes!  Its about 8 hours since my appt & most (80%) of the reactions are gone!  On this test, I was mainly allergic to all trees, grass, mold, dust & coackroaches.  #allergytest #allergytesting #allergytestingday #environmetalallergytest #allergies #zyrtec #fyp #fypシ #viral #blackgirltiktok ",False,,adriaanyae,Anyae’ ♐️🧜🏽‍♀️,,,,,,False
7164440085520289030,2022-11-10T18:26:41,60,FR,31600,87,363,1100000,As tu des bon yeux ? #yeux #pourtoi #foryou #foryoupage #test #bonnechance ,False,,tiktok.ytb_77,YTB-TikTok_,,,,,,False
7217661055965891886,2023-04-03T05:31:24,264,US,2541,192,355,701600,The test is “idr labs personality style test” if you were wondering ,False,,xwia__,Xwia,,,,,,False
7152894872662330629,2022-10-10T16:45:22,72,FR,219800,1829,5157,2900000,Grand quiz de Culture G - Niveau Facile ! #whatsupworld #tiktokacademie #quiz #cultureg #apprendre ,False,,cesar_cultureg,César - Culture G,,,,,,True
